observation,site,year,beetle,visits,wild,managed,samples,vists/flower/min,crop
1,fremont,2023,0,9,4,5,6,0.3,pumpkin
2,fremont,2023,0,45,13,32,10,0.9,pumpkin
3,fremont,2023,0,28,12,16,7,0.8,pumpkin
1,fremont,2022,0,13,12,1,5,0.52,pumpkin
2,fremont,2022,0,25,13,12,8,0.625,pumpkin
3,fremont,2022,0,7,4,3,6,0.233333333,pumpkin
1,fremont,2023,1,2,1,1,2,0.2,pumpkin
2,fremont,2023,1,10,3,7,6,0.333333333,pumpkin
3,fremont,2023,1,7,2,5,5,0.28,pumpkin
1,fremont,2022,1,6,6,0,3,0.4,pumpkin
2,fremont,2022,1,11,8,3,6,0.366666667,pumpkin
3,fremont,2022,1,7,3,4,4,0.35,pumpkin
1,fremont,2023,2,4,3,1,4,0.2,pumpkin
2,fremont,2023,2,15,6,9,7,0.428571429,pumpkin
3,fremont,2023,2,9,4,5,3,0.6,pumpkin
1,fremont,2022,2,10,8,2,6,0.333333333,pumpkin
2,fremont,2022,2,11,4,7,4,0.55,pumpkin
3,fremont,2022,2,8,3,5,5,0.32,pumpkin
1,fremont,2023,3,1,0,1,1,0.2,pumpkin
2,fremont,2023,3,1,0,1,2,0.1,pumpkin
1,fremont,2022,3,3,2,1,2,0.3,pumpkin
2,fremont,2022,3,9,8,1,5,0.36,pumpkin
3,fremont,2022,3,4,1,3,5,0.16,pumpkin
1,fremont,2023,4,1,1,0,1,0.2,pumpkin
2,fremont,2023,4,1,1,0,3,0.066666667,pumpkin
1,fremont,2022,4,2,1,1,2,0.2,pumpkin
2,fremont,2022,4,4,3,1,2,0.4,pumpkin
3,fremont,2022,4,5,3,2,4,0.25,pumpkin
1,fremont,2023,5,1,1,0,1,0.2,pumpkin
2,fremont,2023,5,1,1,0,1,0.2,pumpkin
1,fremont,2022,5,1,1,0,1,0.2,pumpkin
2,fremont,2022,5,5,4,1,2,0.5,pumpkin
3,fremont,2022,5,5,1,4,3,0.333333333,pumpkin
1,fremont,2022,6,2,1,1,1,0.4,pumpkin
2,fremont,2022,6,3,1,2,1,0.6,pumpkin
1,fremont,2022,7,1,1,0,1,0.2,pumpkin
1,fremont,2022,8,5,5,0,1,1,pumpkin
3,fremont,2022,8,1,1,0,1,0.2,pumpkin
1,fremont,2022,9,1,0,1,1,0.2,pumpkin
3,fremont,2022,10,1,1,0,1,0.2,pumpkin
1,willard,2023,0,74,27,47,12,1.233333333,pumpkin
2,willard,2023,0,27,6,21,7,0.771428571,pumpkin
1,willard,2022,0,2,0,2,1,0.4,pumpkin
2,willard,2022,0,31,9,22,10,0.62,pumpkin
3,willard,2022,0,9,1,8,2,0.9,pumpkin
4,willard,2022,0,4,1,3,2,0.4,pumpkin
1,willard,2023,1,10,1,9,6,0.333333333,pumpkin
2,willard,2023,1,9,0,9,4,0.45,pumpkin
1,willard,2022,1,19,10,9,3,1.266666667,pumpkin
2,willard,2022,1,11,4,7,6,0.366666667,pumpkin
3,willard,2022,1,3,1,2,2,0.3,pumpkin
4,willard,2022,1,20,9,11,6,0.666666667,pumpkin
1,willard,2023,2,9,3,6,4,0.45,pumpkin
2,willard,2023,2,5,1,4,2,0.5,pumpkin
1,willard,2022,2,3,1,2,5,0.12,pumpkin
2,willard,2022,2,6,2,4,4,0.3,pumpkin
3,willard,2022,2,10,6,4,4,0.5,pumpkin
4,willard,2022,2,12,9,3,5,0.48,pumpkin
1,willard,2023,3,2,2,0,2,0.2,pumpkin
2,willard,2023,3,2,0,2,1,0.4,pumpkin
1,willard,2022,3,6,4,2,3,0.4,pumpkin
2,willard,2022,3,3,1,2,3,0.2,pumpkin
3,willard,2022,3,3,3,0,2,0.3,pumpkin
4,willard,2022,3,1,1,0,1,0.2,pumpkin
1,willard,2023,4,5,0,5,3,0.333333333,pumpkin
1,willard,2022,4,1,1,0,1,0.2,pumpkin
3,willard,2022,4,1,0,1,1,0.2,pumpkin
2,willard,2023,5,2,1,1,1,0.4,pumpkin
2,willard,2022,5,1,0,1,1,0.2,pumpkin
3,willard,2022,5,5,4,1,3,0.333333333,pumpkin
1,willard,2023,10,2,1,1,1,0.4,pumpkin
2,willard,2023,10,10,3,7,3,0.666666667,pumpkin
1,wooster,2023,0,68,16,52,11,1.236363636,pumpkin
2,wooster,2023,0,34,5,29,8,0.85,pumpkin
3,wooster,2023,0,49,6,43,9,1.088888889,pumpkin
1,wooster,2022,0,4,4,0,3,0.266666667,pumpkin
1,wooster,2022,0,2,1,1,2,0.2,pumpkin
2,wooster,2022,0,20,17,3,7,0.571428571,pumpkin
4,wooster,2022,0,29,21,8,7,0.828571429,pumpkin
1,wooster,2023,1,12,1,11,5,0.48,pumpkin
2,wooster,2023,1,12,5,7,5,0.48,pumpkin
3,wooster,2023,1,4,1,3,3,0.266666667,pumpkin
1,wooster,2022,1,4,2,2,2,0.4,pumpkin
1,wooster,2022,1,10,5,5,4,0.5,pumpkin
2,wooster,2022,1,7,5,2,4,0.35,pumpkin
4,wooster,2022,1,9,8,1,3,0.6,pumpkin
1,wooster,2023,2,17,5,12,6,0.566666667,pumpkin
2,wooster,2023,2,17,9,8,6,0.566666667,pumpkin
1,wooster,2022,2,3,3,0,2,0.3,pumpkin
1,wooster,2022,2,15,13,2,6,0.5,pumpkin
2,wooster,2022,2,11,11,0,8,0.275,pumpkin
4,wooster,2022,2,3,2,1,3,0.2,pumpkin
1,wooster,2023,3,3,1,2,3,0.2,pumpkin
2,wooster,2023,3,3,2,1,2,0.3,pumpkin
1,wooster,2022,3,1,1,0,1,0.2,pumpkin
1,wooster,2022,3,12,10,2,7,0.342857143,pumpkin
2,wooster,2022,3,11,10,1,4,0.55,pumpkin
4,wooster,2022,3,7,6,1,5,0.28,pumpkin
1,wooster,2023,4,2,0,2,2,0.2,pumpkin
2,wooster,2023,4,1,0,1,1,0.2,pumpkin
1,wooster,2022,4,3,2,1,2,0.3,pumpkin
2,wooster,2022,4,7,6,1,4,0.35,pumpkin
1,wooster,2023,5,3,0,3,2,0.3,pumpkin
2,wooster,2023,5,1,0,1,1,0.2,pumpkin
1,wooster,2022,5,5,4,1,6,0.166666667,pumpkin
2,wooster,2022,5,7,7,0,3,0.466666667,pumpkin
1,wooster,2022,6,2,2,0,2,0.2,pumpkin
2,wooster,2022,6,1,1,0,1,0.2,pumpkin
2,wooster,2022,7,1,1,0,1,0.2,pumpkin
2,wooster,2022,7,1,1,0,1,0.2,pumpkin
2,wooster,2022,8,2,2,0,2,0.2,pumpkin
2,wooster,2022,10,1,1,0,1,0.2,pumpkin
3,wooster,2022,11,2,2,0,1,0.4,pumpkin
2,wooster,2022,15,1,1,0,1,0.2,pumpkin
